,Open - ended,Open - ended,Close - ended,Close - ended,Total,Total, , , , , , , , , , , , , , , 
Date,Number  (1),Assets  (1),Number  (1),Assets  (1),Number  (1),Assets  (1),Domestic Shares  (2),Foreign Shares  (2),Domestic Sukuk and Bonds  (2),Foreign Bonds  (2),Domestic Money Market Instruments  (2),Foreign Money Market Instruments  (2),Other Domestic Assets  (2),Other Foreign Assets  (2),Real Estate Investments  (2),Total Assets  (2),No. of Operating Funds  (3),No. of Subscribers  (3),Domestic Assets *  (3),Foreign Assets *  (3),Total Assets of Funds *  (3)
1/1/2012 12:00:00 AM,239,88440,14,1817,253,90257,21508,10366,3031,2681,44082,5090,1254,424,1821,90257,253,289303,71696,18561,90257
4/1/2012 12:00:00 AM,230,85793,11,1674,241,87467,19059,9363,2729,2145,44469,6633,705,365,1999,87467,241,283836,68961,18506,87467
7/1/2012 12:00:00 AM,228,88411,11,1672,239,90083,19409,10092,2026,2200,46491,6783,995,204,1883,90083,239,279654,70804,19279,90083
10/1/2012 12:00:00 AM,229,86324,11,1744,240,88068,19192,10354,2086,1807,44874,6034,1844,60,1817,88068,240,275624,69812,18256,88068
1/1/2013 12:00:00 AM,229,90654,11,1871,240,92525,20357,10339,2204,1932,44104,9665,1277,373,2274,92525,240,270864,70216,22309,92525
4/1/2013 12:00:00 AM,230,98272,11,1949,241,100221,21170,10203,2305,1737,50256,9961,1770,356,2463,100221,241,265512,77964,22257,100221
7/1/2013 12:00:00 AM,233,101143,10,2214,243,103357,22938,11251,2455,2399,47056,9622,5034,835,1767,103357,243,261544,79250,24107,103357
10/1/2013 12:00:00 AM,226,100644,10,2535,236,103179,23639,12170,2878,1731,50809,7005,1411,409,3127,103179,236,258110,81863,21316,103179
1/1/2014 12:00:00 AM,229,105712,11,2695,240,108407,28548,10999,4010,1829,50962,6194,1782,457,3626,108407,240,256440,88928,19479,108407
4/1/2014 12:00:00 AM,237,112798,12,3119,249,115917,27036,11342,4361,1871,55825,8392,2293,469,4328,115917,249,254154,93842,22075,115917
7/1/2014 12:00:00 AM,238,118423,12,3112,250,121535,31816,11327,3904,2123,57424,7526,2608,628,4179,121535,250,251756,99931,21604,121535
10/1/2014 12:00:00 AM,242,107711,10,3000,252,110711,24477,11215,3973,2019,45674,15194,4189,410,3560,110711,252,246031,81873,28838,110711
1/1/2015 12:00:00 AM,247,110285,8,2067,255,112352,25874,11409,4518,1937,52086,10227,2292,436,3573,112352,255,242802,88343,24009,112352
4/1/2015 12:00:00 AM,254,117569,9,2410,263,119979,28781,11269,5240,2218,52720,9947,5754,469,3581,119979,263,242818,96076,23903,119979
7/1/2015 12:00:00 AM,257,111151,9,2372,266,113523,23320,10122,5909,2283,53936,9467,4471,436,3579,113523,266,239182,90749,22774,113523
10/1/2015 12:00:00 AM,261,100572,9,2326,270,102898,20025,10573,5830,2017,43691,12976,4014,407,3365,102898,270,236977,75920,26978,102898
1/1/2016 12:00:00 AM,268,88923,9,2272,277,91195,16777,6756,6568,2230,34881,14041,5490,2348,2104,91195,277,234047,65815,25380,91195
4/1/2016 12:00:00 AM,269,86997,9,2213,278,89210,17787,6471,5656,1621,38595,10600,4569,443,3469,89211,278,228325,70075,19135,89210
7/1/2016 12:00:00 AM,266,79806,11,2010,277,81816,13836,4635,5843,1389,39957,8703,3605,397,3451,81816,277,225849,66692,15124,81816
10/1/2016 12:00:00 AM,263,84976,12,2859,275,87836,16386.41,4940.25,5576.97,1282.39,40793.35,10569.88,4698.49,388.41,3199.51,87835.66,275,224411,70655,17181,87836
1/1/2017 12:00:00 AM,263,101891,12,2640,275,104531,17119,4725,5716,1331,53412,14869,3883,565,2911,104531,275,224244,83041,21490,104531
4/1/2017 12:00:00 AM,262,107244,13,3183,275,110427,18985,4849,5061,1323,56704,16588,3268,461,3188,110427,275,229515,86133,24294,110427
7/1/2017 12:00:00 AM,261,106901,17,5752,278,112653,19156,4983,5042,1470,56929,17716,2802,561,3994,112653,278,235190,87923,24730,112653
10/1/2017 12:00:00 AM,255,98250.59,18,11982.18,273,110232.77,17988.13,5420.2,4996.24,1527.84,55168.83,11597.79,8743.02,541.53,4249.17,110232.75,273,238445,91145.39,19087.38,110232.77
1/1/2018 12:00:00 AM,239,102135.45,23,17949.45,262,120084.9,21053,5187,4874,1377,56427,13155,8834,380,8798,120085,262,294789,94949.45,25135.45,120084.9
4/1/2018 12:00:00 AM,241,100121,23,18941,264,119062,21754,4867,4556,1469,59258,8565,8976,319,9298,119062,264,311231,103843,15219,119062
7/1/2018 12:00:00 AM,240,95644.2,24,22210.9,264,117855.1,22178.8,4632.1,4313.7,1315.5,55360.1,8782.6,9419.1,175.3,11677.9,117855.1,264,326902,102949.6,14905.5,117855.1
10/1/2018 12:00:00 AM,223,87365.9,26,24495.8,249,111861.7,21512.3,4320.9,4493.6,1032.4,45446.7,12736,2588,123.2,19608.6,111861.7,249,332567,93649.5,18212.2,111861.7
1/1/2019 12:00:00 AM,225,94441.8,27,25317.8,252,119759.59,22982.1,4549.4,4191.3,1013,33263.5,31088.6,1684.9,81.6,20905.2,119759.6,252,356410,83026.94,36732.66,119759.6
4/1/2019 12:00:00 AM,224,100745.6,27,25361.2,251,126106.8,21612.1,4644.41,5418.7,1075.8,55031.4,15298.4,2539.4,102.5,20384.6,126107.31,251,335367,104986,21121,126107
7/1/2019 12:00:00 AM,226,110928.7,26,26311.96,252,137240.7,18271.47,3718.46,6046.97,1053.7,62053.29,19047.26,3567.03,141.92,23340.61,137240.71,252,333318,113279.37,23961.35,137240.72
10/1/2019 12:00:00 AM,228,133223.24,25,26734.61,253,159958.02,23000.35,4149.53,6915.17,1010.77,76728.74,21276.46,3043.41,79.6,23754,159958.03,253,329739,133441.67,26516.37,159958.04
1/1/2020 12:00:00 AM,228,147676.47,25,27066.33,253,174742.8,15263.42,3266.34,9856.03,1507.76,70592.33,40247.45,9514.89,92.58,24402.02,174742.82,253,339678,129628.68,45114.13,174742.81
